[541383.931935] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8596, bssidx: 0
[541446.931500] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8597, bssidx: 0
[541509.885993] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8598, bssidx: 0
[541572.889204] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8599, bssidx: 0
[541635.927508] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8600, bssidx: 0
[541698.927146] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8601, bssidx: 0
[541761.925509] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8602, bssidx: 0
[541824.895982] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8603, bssidx: 0
[541887.921541] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8604, bssidx: 0
[541950.923625] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8605, bssidx: 0
[542013.917175] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8606, bssidx: 0
[542076.916492] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8607, bssidx: 0
[542139.889232] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8608, bssidx: 0
[542202.912505] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8609, bssidx: 0
[542265.862305] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8610, bssidx: 0
[542328.861114] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8611, bssidx: 0
[542391.905416] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8612, bssidx: 0
[542454.841986] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8613, bssidx: 0
[542517.893292] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8614, bssidx: 0
[542580.887269] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8615, bssidx: 0
[542643.883439] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8616, bssidx: 0
[542706.831028] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8617, bssidx: 0
[542769.872705] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8618, bssidx: 0
[542832.817704] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8619, bssidx: 0
